# This autogenerated file contains solubilities of CO2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min phase pressure = 101325.0, max phase pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_CO2 [-]
 1.00000000000e+00,   3.37355522613e+07, 1.90673952368e-03, 3.35176799601e-02
 1.00000000000e+00,   3.42375556533e+07, 1.91006264767e-03, 3.35126442384e-02
 1.00000000000e+00,   3.47395590452e+07, 1.91336119808e-03, 3.35070790574e-02
 1.00000000000e+00,   3.52415624372e+07, 1.91663568843e-03, 3.35009974882e-02
 1.00000000000e+00,   3.57435658291e+07, 1.91988661214e-03, 3.34944122225e-02
 1.00000000000e+00,   3.62455692211e+07, 1.92311444336e-03, 3.34873355925e-02
 1.00000000000e+00,   3.67475726131e+07, 1.92631963811e-03, 3.34797795776e-02
 1.00000000000e+00,   3.72495760050e+07, 1.92950263489e-03, 3.34717558301e-02
 1.00000000000e+00,   3.77515793970e+07, 1.93266385563e-03, 3.34632756809e-02
 1.00000000000e+00,   3.82535827889e+07, 1.93580370647e-03, 3.34543501536e-02
 1.00000000000e+00,   3.87555861809e+07, 1.93892257842e-03, 3.34449899783e-02
 1.00000000000e+00,   3.92575895729e+07, 1.94202084800e-03, 3.34352056049e-02
 1.00000000000e+00,   3.97595929648e+07, 1.94509887806e-03, 3.34250072049e-02
 1.00000000000e+00,   4.02615963568e+07, 1.94815701807e-03, 3.34144046980e-02
 1.00000000000e+00,   4.07635997487e+07, 1.95119560509e-03, 3.34034077439e-02
 1.00000000000e+00,   4.12656031407e+07, 1.95421496399e-03, 3.33920257631e-02
 1.00000000000e+00,   4.17676065327e+07, 1.95721540815e-03, 3.33802679411e-02
 1.00000000000e+00,   4.22696099246e+07, 1.96019723972e-03, 3.33681432441e-02
 1.00000000000e+00,   4.27716133166e+07, 1.96316075047e-03, 3.33556604121e-02
 1.00000000000e+00,   4.32736167085e+07, 1.96610622184e-03, 3.33428279808e-02
 1.00000000000e+00,   4.37756201005e+07, 1.96903392548e-03, 3.33296542859e-02
 1.00000000000e+00,   4.42776234925e+07, 1.97194412381e-03, 3.33161474618e-02
 1.00000000000e+00,   4.47796268844e+07, 1.97483707013e-03, 3.33023154590e-02
 1.00000000000e+00,   4.52816302764e+07, 1.97771300921e-03, 3.32881660414e-02
 1.00000000000e+00,   4.57836336683e+07, 1.98057217734e-03, 3.32737068037e-02
 1.00000000000e+00,   4.62856370603e+07, 1.98341480307e-03, 3.32589451594e-02
 1.00000000000e+00,   4.67876404523e+07, 1.98624110707e-03, 3.32438883666e-02
 1.00000000000e+00,   4.72896438442e+07, 1.98905130278e-03, 3.32285435169e-02
 1.00000000000e+00,   4.77916472362e+07, 1.99184559641e-03, 3.32129175514e-02
 1.00000000000e+00,   4.82936506281e+07, 1.99462418743e-03, 3.31970172580e-02
 1.00000000000e+00,   4.87956540201e+07, 1.99738726870e-03, 3.31808492797e-02
 1.00000000000e+00,   4.92976574121e+07, 2.00013502676e-03, 3.31644201177e-02
 1.00000000000e+00,   4.97996608040e+07, 2.00286764190e-03, 3.31477361418e-02
 1.00000000000e+00,   5.03016641960e+07, 2.00558528870e-03, 3.31308035814e-02
 1.00000000000e+00,   5.08036675879e+07, 2.00828813604e-03, 3.31136285390e-02
 1.00000000000e+00,   5.13056709799e+07, 2.01097634713e-03, 3.30962169980e-02
 1.00000000000e+00,   5.18076743719e+07, 2.01365008009e-03, 3.30785748129e-02
 1.00000000000e+00,   5.23096777638e+07, 2.01630948785e-03, 3.30607077244e-02
 1.00000000000e+00,   5.28116811558e+07, 2.01895471845e-03, 3.30426213557e-02
 1.00000000000e+00,   5.33136845477e+07, 2.02158591515e-03, 3.30243212204e-02
 1.00000000000e+00,   5.38156879397e+07, 2.02420321664e-03, 3.30058127223e-02
 1.00000000000e+00,   5.43176913317e+07, 2.02680675707e-03, 3.29871011626e-02
 1.00000000000e+00,   5.48196947236e+07, 2.02939666642e-03, 3.29681917363e-02
 1.00000000000e+00,   5.53216981156e+07, 2.03197307045e-03, 3.29490895409e-02
 1.00000000000e+00,   5.58237015075e+07, 2.03453609097e-03, 3.29297995739e-02
 1.00000000000e+00,   5.63257048995e+07, 2.03708584580e-03, 3.29103267422e-02
 1.00000000000e+00,   5.68277082915e+07, 2.03962244906e-03, 3.28906758588e-02
 1.00000000000e+00,   5.73297116834e+07, 2.04214601122e-03, 3.28708516467e-02
 1.00000000000e+00,   5.78317150754e+07, 2.04465663927e-03, 3.28508587406e-02
 1.00000000000e+00,   5.83337184673e+07, 2.04715443672e-03, 3.28307016920e-02
 1.00000000000e+00,   5.88357218593e+07, 2.04963950391e-03, 3.28103849649e-02
 1.00000000000e+00,   5.93377252513e+07, 2.05211193774e-03, 3.27899129505e-02
 1.00000000000e+00,   5.98397286432e+07, 2.05457183231e-03, 3.27692899506e-02
 1.00000000000e+00,   6.03417320352e+07, 2.05701927844e-03, 3.27485201999e-02
 1.00000000000e+00,   6.08437354271e+07, 2.05945436425e-03, 3.27276078497e-02
 1.00000000000e+00,   6.13457388191e+07, 2.06187717488e-03, 3.27065569841e-02
 1.00000000000e+00,   6.18477422111e+07, 2.06428779281e-03, 3.26853716117e-02
 1.00000000000e+00,   6.23497456030e+07, 2.06668629785e-03, 3.26640556731e-02
 1.00000000000e+00,   6.28517489950e+07, 2.06907276723e-03, 3.26426130398e-02
 1.00000000000e+00,   6.33537523869e+07, 2.07144727563e-03, 3.26210475177e-02
 1.00000000000e+00,   6.38557557789e+07, 2.07380989536e-03, 3.25993628470e-02
 1.00000000000e+00,   6.43577591709e+07, 2.07616069649e-03, 3.25775626992e-02
 1.00000000000e+00,   6.48597625628e+07, 2.07849974646e-03, 3.25556506958e-02
 1.00000000000e+00,   6.53617659548e+07, 2.08082711083e-03, 3.25336303851e-02
 1.00000000000e+00,   6.58637693467e+07, 2.08314285279e-03, 3.25115052634e-02
 1.00000000000e+00,   6.63657727387e+07, 2.08544703352e-03, 3.24892787668e-02
 1.00000000000e+00,   6.68677761307e+07, 2.08773971221e-03, 3.24669542716e-02
 1.00000000000e+00,   6.73697795226e+07, 2.09002094591e-03, 3.24445351048e-02
 1.00000000000e+00,   6.78717829146e+07, 2.09229078989e-03, 3.24220245340e-02
 1.00000000000e+00,   6.83737863065e+07, 2.09454929741e-03, 3.23994257777e-02
 1.00000000000e+00,   6.88757896985e+07, 2.09679652006e-03, 3.23767419980e-02
 1.00000000000e+00,   6.93777930905e+07, 2.09903250756e-03, 3.23539763094e-02
 1.00000000000e+00,   6.98797964824e+07, 2.10125730792e-03, 3.23311317756e-02
 1.00000000000e+00,   7.03817998744e+07, 2.10347096753e-03, 3.23082114102e-02
 1.00000000000e+00,   7.08838032663e+07, 2.10567353102e-03, 3.22852181829e-02
 1.00000000000e+00,   7.13858066583e+07, 2.10786504164e-03, 3.22621550108e-02
 1.00000000000e+00,   7.18878100503e+07, 2.11004554075e-03, 3.22390247749e-02
 1.00000000000e+00,   7.23898134422e+07, 2.11221506864e-03, 3.22158302991e-02
 1.00000000000e+00,   7.28918168342e+07, 2.11437366381e-03, 3.21925743724e-02
 1.00000000000e+00,   7.33938202261e+07, 2.11652136339e-03, 3.21692597401e-02
 1.00000000000e+00,   7.38958236181e+07, 2.11865820322e-03, 3.21458891017e-02
 1.00000000000e+00,   7.43978270101e+07, 2.12078421783e-03, 3.21224651146e-02
 1.00000000000e+00,   7.48998304020e+07, 2.12289944018e-03, 3.20989904028e-02
 1.00000000000e+00,   7.54018337940e+07, 2.12500390214e-03, 3.20754675450e-02
 1.00000000000e+00,   7.59038371859e+07, 2.12709763433e-03, 3.20518990817e-02
 1.00000000000e+00,   7.64058405779e+07, 2.12918066603e-03, 3.20282875183e-02
 1.00000000000e+00,   7.69078439698e+07, 2.13125302552e-03, 3.20046353172e-02
 1.00000000000e+00,   7.74098473618e+07, 2.13331473968e-03, 3.19809449117e-02
 1.00000000000e+00,   7.79118507538e+07, 2.13536583447e-03, 3.19572186927e-02
 1.00000000000e+00,   7.84138541457e+07, 2.13740633469e-03, 3.19334590182e-02
 1.00000000000e+00,   7.89158575377e+07, 2.13943626393e-03, 3.19096682149e-02
 1.00000000000e+00,   7.94178609296e+07, 2.14145564494e-03, 3.18858485706e-02
 1.00000000000e+00,   7.99198643216e+07, 2.14346449929e-03, 3.18620023435e-02
 1.00000000000e+00,   8.04218677136e+07, 2.14546284756e-03, 3.18381317596e-02
 1.00000000000e+00,   8.09238711055e+07, 2.14745070957e-03, 3.18142390068e-02
 1.00000000000e+00,   8.14258744975e+07, 2.14942810386e-03, 3.17903262511e-02
 1.00000000000e+00,   8.19278778894e+07, 2.15139504830e-03, 3.17663956199e-02
 1.00000000000e+00,   8.24298812814e+07, 2.15335155971e-03, 3.17424492159e-02
 1.00000000000e+00,   8.29318846734e+07, 2.15529765420e-03, 3.17184891058e-02
 1.00000000000e+00,   8.34338880653e+07, 2.15723334671e-03, 3.16945173372e-02
 1.00000000000e+00,   8.39358914573e+07, 2.15915865176e-03, 3.16705359164e-02
 1.00000000000e+00,   8.44378948492e+07, 2.16107358265e-03, 3.16465468338e-02
 1.00000000000e+00,   8.49398982412e+07, 2.16297815202e-03, 3.16225520473e-02
 1.00000000000e+00,   8.54419016332e+07, 2.16487237193e-03, 3.15985534829e-02
 1.00000000000e+00,   8.59439050251e+07, 2.16675625336e-03, 3.15745530489e-02
 1.00000000000e+00,   8.64459084171e+07, 2.16862980682e-03, 3.15505526198e-02
 1.00000000000e+00,   8.69479118090e+07, 2.17049304177e-03, 3.15265540532e-02
 1.00000000000e+00,   8.74499152010e+07, 2.17234596732e-03, 3.15025591716e-02
 1.00000000000e+00,   8.79519185930e+07, 2.17418859158e-03, 3.14785697820e-02
 1.00000000000e+00,   8.84539219849e+07, 2.17602092221e-03, 3.14545876600e-02
 1.00000000000e+00,   8.89559253769e+07, 2.17784296605e-03, 3.14306145620e-02
 1.00000000000e+00,   8.94579287688e+07, 2.17965472934e-03, 3.14066522202e-02
 1.00000000000e+00,   8.99599321608e+07, 2.18145621778e-03, 3.13827023408e-02
 1.00000000000e+00,   9.04619355528e+07, 2.18324743623e-03, 3.13587666133e-02
 1.00000000000e+00,   9.09639389447e+07, 2.18502838925e-03, 3.13348466975e-02
 1.00000000000e+00,   9.14659423367e+07, 2.18679908041e-03, 3.13109442414e-02
 1.00000000000e+00,   9.19679457286e+07, 2.18855951318e-03, 3.12870608596e-02
 1.00000000000e+00,   9.24699491206e+07, 2.19030969000e-03, 3.12631981575e-02
 1.00000000000e+00,   9.29719525126e+07, 2.19204961318e-03, 3.12393577091e-02
 1.00000000000e+00,   9.34739559045e+07, 2.19377928420e-03, 3.12155410758e-02
 1.00000000000e+00,   9.39759592965e+07, 2.19549870399e-03, 3.11917497989e-02
 1.00000000000e+00,   9.44779626884e+07, 2.19720787319e-03, 3.11679853954e-02
 1.00000000000e+00,   9.49799660804e+07, 2.19890679184e-03, 3.11442493647e-02
 1.00000000000e+00,   9.54819694724e+07, 2.20059545938e-03, 3.11205431903e-02
 1.00000000000e+00,   9.59839728643e+07, 2.20227387496e-03, 3.10968683326e-02
 1.00000000000e+00,   9.64859762563e+07, 2.20394203703e-03, 3.10732262388e-02
 1.00000000000e+00,   9.69879796482e+07, 2.20559994380e-03, 3.10496183330e-02
 1.00000000000e+00,   9.74899830402e+07, 2.20724759297e-03, 3.10260460234e-02
 1.00000000000e+00,   9.79919864322e+07, 2.20888498166e-03, 3.10025107040e-02
 1.00000000000e+00,   9.84939898241e+07, 2.21051210661e-03, 3.09790137506e-02
 1.00000000000e+00,   9.89959932161e+07, 2.21212896450e-03, 3.09555565130e-02
 1.00000000000e+00,   9.94979966080e+07, 2.21373555095e-03, 3.09321403408e-02
 1.00000000000e+00,   1.00000000000e+08, 2.21533186168e-03, 3.09087665555e-02
 3.01010101010e+00,   1.01325000000e+05, 7.60875703502e-03, 1.06589576735e-03
 3.01010101010e+00,   6.03328391960e+05, 1.34133189727e-03, 6.15693906658e-03
 3.01010101010e+00,   1.10533178392e+06, 7.70455555313e-04, 1.08732709843e-02
 3.01010101010e+00,   1.60733517588e+06, 5.59189489466e-04, 1.52255137341e-02
 3.01010101010e+00,   2.10933856784e+06, 4.51316946492e-04, 1.92231005803e-02
 3.01010101010e+00,   2.61134195980e+06, 3.87846201043e-04, 2.28740673494e-02
 3.01010101010e+00,   3.11334535176e+06, 3.48156935868e-04, 2.61849806874e-02
 3.01010101010e+00,   3.61534874372e+06, 3.23706766002e-04, 2.91620219394e-02
 3.01010101010e+00,   4.11735213568e+06, 1.71084604459e-03, 3.11590477517e-02
 3.01010101010e+00,   4.61935552764e+06, 1.72143519162e-03, 3.12785241130e-02
 3.01010101010e+00,   5.12135891960e+06, 1.73145366589e-03, 3.13890143787e-02
 3.01010101010e+00,   5.62336231156e+06, 1.74097982785e-03, 3.14917286060e-02
 3.01010101010e+00,   6.12536570352e+06, 1.75007550107e-03, 3.15876109677e-02
 3.01010101010e+00,   6.62736909548e+06, 1.75879055846e-03, 3.16774165484e-02
 3.01010101010e+00,   7.12937248744e+06, 1.76716597314e-03, 3.17617616526e-02
 3.01010101010e+00,   7.63137587940e+06, 1.77523592342e-03, 3.18411580038e-02
 3.01010101010e+00,   8.13337927136e+06, 1.78302929020e-03, 3.19160367304e-02
 3.01010101010e+00,   8.63538266332e+06, 1.79057075016e-03, 3.19867656423e-02
 3.01010101010e+00,   9.13738605528e+06, 1.79788159164e-03, 3.20536619661e-02
 3.01010101010e+00,   9.63938944724e+06, 1.80498033551e-03, 3.21170019234e-02
 3.01010101010e+00,   1.01413928392e+07, 1.81188321557e-03, 3.21770280640e-02
 3.01010101010e+00,   1.06433962312e+07, 1.81860455578e-03, 3.22339549696e-02
 3.01010101010e+00,   1.11453996231e+07, 1.82515707050e-03, 3.22879737532e-02
 3.01010101010e+00,   1.16474030151e+07, 1.83155210612e-03, 3.23392556526e-02
 3.01010101010e+00,   1.21494064070e+07, 1.83779983774e-03, 3.23879549347e-02
 3.01010101010e+00,   1.26514097990e+07, 1.84390943068e-03, 3.24342112656e-02
 3.01010101010e+00,   1.31534131910e+07, 1.84988917434e-03, 3.24781516641e-02
 3.01010101010e+00,   1.36554165829e+07, 1.85574659390e-03, 3.25198921257e-02
 3.01010101010e+00,   1.41574199749e+07, 1.86148854438e-03, 3.25595389818e-02
 3.01010101010e+00,   1.46594233668e+07, 1.86712129024e-03, 3.25971900482e-02
 3.01010101010e+00,   1.51614267588e+07, 1.87265057318e-03, 3.26329355987e-02
 3.01010101010e+00,   1.56634301508e+07, 1.87808167026e-03, 3.26668591991e-02
 3.01010101010e+00,   1.61654335427e+07, 1.88341944393e-03, 3.26990384222e-02
 3.01010101010e+00,   1.66674369347e+07, 1.88866838541e-03, 3.27295454667e-02
 3.01010101010e+00,   1.71694403266e+07, 1.89383265228e-03, 3.27584476947e-02
 3.01010101010e+00,   1.76714437186e+07, 1.89891610146e-03, 3.27858080994e-02
 3.01010101010e+00,   1.81734471106e+07, 1.90392231798e-03, 3.28116857168e-02
 3.01010101010e+00,   1.86754505025e+07, 1.90885464045e-03, 3.28361359841e-02
 3.01010101010e+00,   1.91774538945e+07, 1.91371618339e-03, 3.28592110631e-02
 3.01010101010e+00,   1.96794572864e+07, 1.91850985722e-03, 3.28809601168e-02
 3.01010101010e+00,   2.01814606784e+07, 1.92323838579e-03, 3.29014295674e-02
 3.01010101010e+00,   2.06834640704e+07, 1.92790432226e-03, 3.29206633149e-02
 3.01010101010e+00,   2.11854674623e+07, 1.93251006313e-03, 3.29387029399e-02
 3.01010101010e+00,   2.16874708543e+07, 1.93705786095e-03, 3.29555878810e-02
 3.01010101010e+00,   2.21894742462e+07, 1.94154983557e-03, 3.29713556014e-02
 3.01010101010e+00,   2.26914776382e+07, 1.94598798443e-03, 3.29860417326e-02
 3.01010101010e+00,   2.31934810302e+07, 1.95037419187e-03, 3.29996802043e-02
 3.01010101010e+00,   2.36954844221e+07, 1.95471023744e-03, 3.30123033662e-02
 3.01010101010e+00,   2.41974878141e+07, 1.95899780352e-03, 3.30239420967e-02
 3.01010101010e+00,   2.46994912060e+07, 1.96323848226e-03, 3.30346259010e-02
 3.01010101010e+00,   2.52014945980e+07, 1.96743378180e-03, 3.30443830042e-02
 3.01010101010e+00,   2.57034979899e+07, 1.97158513213e-03, 3.30532404282e-02
 3.01010101010e+00,   2.62055013819e+07, 1.97569389023e-03, 3.30612240733e-02
 3.01010101010e+00,   2.67075047739e+07, 1.97976134501e-03, 3.30683587828e-02
 3.01010101010e+00,   2.72095081658e+07, 1.98378872157e-03, 3.30746684126e-02
 3.01010101010e+00,   2.77115115578e+07, 1.98777718543e-03, 3.30801758810e-02
 3.01010101010e+00,   2.82135149497e+07, 1.99172784610e-03, 3.30849032341e-02
 3.01010101010e+00,   2.87155183417e+07, 1.99564176069e-03, 3.30888716849e-02
 3.01010101010e+00,   2.92175217337e+07, 1.99951993698e-03, 3.30921016649e-02
 3.01010101010e+00,   2.97195251256e+07, 2.00336333631e-03, 3.30946128712e-02
 3.01010101010e+00,   3.02215285176e+07, 2.00717287650e-03, 3.30964242953e-02
 3.01010101010e+00,   3.07235319095e+07, 2.01094943418e-03, 3.30975542686e-02
 3.01010101010e+00,   3.12255353015e+07, 2.01469384714e-03, 3.30980204975e-02
 3.01010101010e+00,   3.17275386935e+07, 2.01840691669e-03, 3.30978400864e-02
 3.01010101010e+00,   3.22295420854e+07, 2.02208940939e-03, 3.30970295793e-02
 3.01010101010e+00,   3.27315454774e+07, 2.02574205926e-03, 3.30956049759e-02
 3.01010101010e+00,   3.32335488693e+07, 2.02936556924e-03, 3.30935817674e-02
 3.01010101010e+00,   3.37355522613e+07, 2.03296061299e-03, 3.30909749564e-02
 3.01010101010e+00,   3.42375556533e+07, 2.03652783640e-03, 3.30877990783e-02
 3.01010101010e+00,   3.47395590452e+07, 2.04006785898e-03, 3.30840682263e-02
 3.01010101010e+00,   3.52415624372e+07, 2.04358127520e-03, 3.30797960702e-02
 3.01010101010e+00,   3.57435658291e+07, 2.04706865588e-03, 3.30749958696e-02
 3.01010101010e+00,   3.62455692211e+07, 2.05053054908e-03, 3.30696805054e-02
 3.01010101010e+00,   3.67475726131e+07, 2.05396748148e-03, 3.30638624808e-02
 3.01010101010e+00,   3.72495760050e+07, 2.05737995927e-03, 3.30575539488e-02
 3.01010101010e+00,   3.77515793970e+07, 2.06076846923e-03, 3.30507667168e-02
 3.01010101010e+00,   3.82535827889e+07, 2.06413347949e-03, 3.30435122717e-02
 3.01010101010e+00,   3.87555861809e+07, 2.06747544053e-03, 3.30358017855e-02
 3.01010101010e+00,   3.92575895729e+07, 2.07079478593e-03, 3.30276461300e-02
 3.01010101010e+00,   3.97595929648e+07, 2.07409193318e-03, 3.30190558873e-02
 3.01010101010e+00,   4.02615963568e+07, 2.07736728435e-03, 3.30100413642e-02
 3.01010101010e+00,   4.07635997487e+07, 2.08062122679e-03, 3.30006126005e-02
 3.01010101010e+00,   4.12656031407e+07, 2.08385413383e-03, 3.29907793776e-02
 3.01010101010e+00,   4.17676065327e+07, 2.08706636529e-03, 3.29805512330e-02
 3.01010101010e+00,   4.22696099246e+07, 2.09025826817e-03, 3.29699374631e-02
 3.01010101010e+00,   4.27716133166e+07, 2.09343017714e-03, 3.29589471357e-02
 3.01010101010e+00,   4.32736167085e+07, 2.09658241494e-03, 3.29475891016e-02
 3.01010101010e+00,   4.37756201005e+07, 2.09971529312e-03, 3.29358719936e-02
 3.01010101010e+00,   4.42776234925e+07, 2.10282911234e-03, 3.29238042401e-02
 3.01010101010e+00,   4.47796268844e+07, 2.10592416285e-03, 3.29113940707e-02
 3.01010101010e+00,   4.52816302764e+07, 2.10900072486e-03, 3.28986495249e-02
 3.01010101010e+00,   4.57836336683e+07, 2.11205906911e-03, 3.28855784510e-02
 3.01010101010e+00,   4.62856370603e+07, 2.11509945693e-03, 3.28721885274e-02
 3.01010101010e+00,   4.67876404523e+07, 2.11812214095e-03, 3.28584872513e-02
 3.01010101010e+00,   4.72896438442e+07, 2.12112736528e-03, 3.28444819530e-02
 3.01010101010e+00,   4.77916472362e+07, 2.12411536575e-03, 3.28301798048e-02
