# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 1.46594233668e+07, 1.00713205560e+03, 1.70320742997e-03, 2.18785473112e+05, 5.68728303676e-01, 4.15091213682e+03, 4.15091285327e+03, 2.04229861179e+05 
1.00000000000e+00, 1.51614267588e+07, 1.00737708371e+03, 1.70231990782e-03, 2.19283592266e+05, 5.69079644469e-01, 4.14882899621e+03, 4.14883340752e+03, 2.04233193558e+05 
1.00000000000e+00, 1.56634301508e+07, 1.00762183040e+03, 1.70143705573e-03, 2.19781362340e+05, 5.69430184531e-01, 4.14675333071e+03, 4.14676456272e+03, 2.04236413155e+05 
1.00000000000e+00, 1.61654335427e+07, 1.00786629610e+03, 1.70055886389e-03, 2.20278784409e+05, 5.69779925557e-01, 4.14468510008e+03, 4.14470625791e+03, 2.04239520465e+05 
1.00000000000e+00, 1.66674369347e+07, 1.00811048123e+03, 1.69968532250e-03, 2.20775859542e+05, 5.70128869240e-01, 4.14262426430e+03, 4.14265843242e+03, 2.04242515981e+05 
1.00000000000e+00, 1.71694403266e+07, 1.00835438623e+03, 1.69881642177e-03, 2.21272588808e+05, 5.70477017268e-01, 4.14057078359e+03, 4.14062102589e+03, 2.04245400192e+05 
1.00000000000e+00, 1.76714437186e+07, 1.00859801150e+03, 1.69795215189e-03, 2.21768973270e+05, 5.70824371329e-01, 4.13852461836e+03, 4.13859397827e+03, 2.04248173589e+05 
1.00000000000e+00, 1.81734471106e+07, 1.00884135748e+03, 1.69709250310e-03, 2.22265013989e+05, 5.71170933108e-01, 4.13648572926e+03, 4.13657722981e+03, 2.04250836660e+05 
1.00000000000e+00, 1.86754505025e+07, 1.00908442458e+03, 1.69623746560e-03, 2.22760712022e+05, 5.71516704290e-01, 4.13445407716e+03, 4.13457072108e+03, 2.04253389891e+05 
1.00000000000e+00, 1.91774538945e+07, 1.00932721323e+03, 1.69538702962e-03, 2.23256068422e+05, 5.71861686556e-01, 4.13242962315e+03, 4.13257439295e+03, 2.04255833768e+05 
1.00000000000e+00, 1.96794572864e+07, 1.00956972383e+03, 1.69454118541e-03, 2.23751084242e+05, 5.72205881586e-01, 4.13041232852e+03, 4.13058818657e+03, 2.04258168774e+05 
1.00000000000e+00, 2.01814606784e+07, 1.00981195681e+03, 1.69369992319e-03, 2.24245760529e+05, 5.72549291057e-01, 4.12840215482e+03, 4.12861204345e+03, 2.04260395390e+05 
1.00000000000e+00, 2.06834640704e+07, 1.01005391258e+03, 1.69286323322e-03, 2.24740098328e+05, 5.72891916646e-01, 4.12639906376e+03, 4.12664590534e+03, 2.04262514099e+05 
1.00000000000e+00, 2.11854674623e+07, 1.01029559154e+03, 1.69203110574e-03, 2.25234098680e+05, 5.73233760026e-01, 4.12440301734e+03, 4.12468971435e+03, 2.04264525379e+05 
1.00000000000e+00, 2.16874708543e+07, 1.01053699413e+03, 1.69120353102e-03, 2.25727762623e+05, 5.73574822870e-01, 4.12241397771e+03, 4.12274341285e+03, 2.04266429708e+05 
1.00000000000e+00, 2.21894742462e+07, 1.01077812073e+03, 1.69038049931e-03, 2.26221091193e+05, 5.73915106848e-01, 4.12043190728e+03, 4.12080694354e+03, 2.04268227561e+05 
1.00000000000e+00, 2.26914776382e+07, 1.01101897177e+03, 1.68956200091e-03, 2.26714085421e+05, 5.74254613627e-01, 4.11845676867e+03, 4.11888024941e+03, 2.04269919415e+05 
1.00000000000e+00, 2.31934810302e+07, 1.01125954765e+03, 1.68874802607e-03, 2.27206746337e+05, 5.74593344875e-01, 4.11648852469e+03, 4.11696327373e+03, 2.04271505742e+05 
1.00000000000e+00, 2.36954844221e+07, 1.01149984877e+03, 1.68793856510e-03, 2.27699074967e+05, 5.74931302256e-01, 4.11452713840e+03, 4.11505596011e+03, 2.04272987013e+05 
1.00000000000e+00, 2.41974878141e+07, 1.01173987555e+03, 1.68713360829e-03, 2.28191072332e+05, 5.75268487433e-01, 4.11257257303e+03, 4.11315825241e+03, 2.04274363701e+05 
1.00000000000e+00, 2.46994912060e+07, 1.01197962838e+03, 1.68633314593e-03, 2.28682739453e+05, 5.75604902066e-01, 4.11062479209e+03, 4.11127009482e+03, 2.04275636273e+05 
1.00000000000e+00, 2.52014945980e+07, 1.01221910766e+03, 1.68553716834e-03, 2.29174077346e+05, 5.75940547815e-01, 4.10868375923e+03, 4.10939143182e+03, 2.04276805197e+05 
1.00000000000e+00, 2.57034979899e+07, 1.01245831381e+03, 1.68474566584e-03, 2.29665087025e+05, 5.76275426338e-01, 4.10674943837e+03, 4.10752220817e+03, 2.04277870940e+05 
1.00000000000e+00, 2.62055013819e+07, 1.01269724722e+03, 1.68395862875e-03, 2.30155769499e+05, 5.76609539288e-01, 4.10482179359e+03, 4.10566236894e+03, 2.04278833965e+05 
1.00000000000e+00, 2.67075047739e+07, 1.01293590828e+03, 1.68317604741e-03, 2.30646125778e+05, 5.76942888321e-01, 4.10290078924e+03, 4.10381185949e+03, 2.04279694737e+05 
1.00000000000e+00, 2.72095081658e+07, 1.01317429740e+03, 1.68239791215e-03, 2.31136156863e+05, 5.77275475089e-01, 4.10098638983e+03, 4.10197062545e+03, 2.04280453718e+05 
1.00000000000e+00, 2.77115115578e+07, 1.01341241498e+03, 1.68162421333e-03, 2.31625863758e+05, 5.77607301240e-01, 4.09907856010e+03, 4.10013861277e+03, 2.04281111367e+05 
1.00000000000e+00, 2.82135149497e+07, 1.01365026140e+03, 1.68085494131e-03, 2.32115247460e+05, 5.77938368424e-01, 4.09717726499e+03, 4.09831576767e+03, 2.04281668144e+05 
1.00000000000e+00, 2.87155183417e+07, 1.01388783707e+03, 1.68009008644e-03, 2.32604308965e+05, 5.78268678288e-01, 4.09528246966e+03, 4.09650203667e+03, 2.04282124506e+05 
1.00000000000e+00, 2.92175217337e+07, 1.01412514238e+03, 1.67932963912e-03, 2.33093049265e+05, 5.78598232476e-01, 4.09339413947e+03, 4.09469736655e+03, 2.04282480911e+05 
1.00000000000e+00, 2.97195251256e+07, 1.01436217771e+03, 1.67857358971e-03, 2.33581469348e+05, 5.78927032632e-01, 4.09151223998e+03, 4.09290170441e+03, 2.04282737812e+05 
1.00000000000e+00, 3.02215285176e+07, 1.01459894347e+03, 1.67782192862e-03, 2.34069570203e+05, 5.79255080396e-01, 4.08963673696e+03, 4.09111499762e+03, 2.04282895663e+05 
1.00000000000e+00, 3.07235319095e+07, 1.01483544005e+03, 1.67707464624e-03, 2.34557352812e+05, 5.79582377410e-01, 4.08776759639e+03, 4.08933719383e+03, 2.04282954917e+05 
1.00000000000e+00, 3.12255353015e+07, 1.01507166782e+03, 1.67633173299e-03, 2.35044818155e+05, 5.79908925310e-01, 4.08590478443e+03, 4.08756824096e+03, 2.04282916024e+05 
1.00000000000e+00, 3.17275386935e+07, 1.01530762719e+03, 1.67559317928e-03, 2.35531967210e+05, 5.80234725734e-01, 4.08404826749e+03, 4.08580808724e+03, 2.04282779433e+05 
1.00000000000e+00, 3.22295420854e+07, 1.01554331854e+03, 1.67485897555e-03, 2.36018800952e+05, 5.80559780315e-01, 4.08219801212e+03, 4.08405668116e+03, 2.04282545593e+05 
1.00000000000e+00, 3.27315454774e+07, 1.01577874226e+03, 1.67412911223e-03, 2.36505320352e+05, 5.80884090688e-01, 4.08035398512e+03, 4.08231397149e+03, 2.04282214950e+05 
1.00000000000e+00, 3.32335488693e+07, 1.01601389873e+03, 1.67340357977e-03, 2.36991526380e+05, 5.81207658483e-01, 4.07851615347e+03, 4.08057990727e+03, 2.04281787949e+05 
1.00000000000e+00, 3.37355522613e+07, 1.01624878834e+03, 1.67268236863e-03, 2.37477420000e+05, 5.81530485330e-01, 4.07668448434e+03, 4.07885443783e+03, 2.04281265034e+05 
1.00000000000e+00, 3.42375556533e+07, 1.01648341147e+03, 1.67196546927e-03, 2.37963002177e+05, 5.81852572857e-01, 4.07485894512e+03, 4.07713751277e+03, 2.04280646649e+05 
1.00000000000e+00, 3.47395590452e+07, 1.01671776851e+03, 1.67125287218e-03, 2.38448273870e+05, 5.82173922691e-01, 4.07303950338e+03, 4.07542908195e+03, 2.04279933233e+05 
1.00000000000e+00, 3.52415624372e+07, 1.01695185984e+03, 1.67054456784e-03, 2.38933236036e+05, 5.82494536455e-01, 4.07122612688e+03, 4.07372909552e+03, 2.04279125228e+05 
1.00000000000e+00, 3.57435658291e+07, 1.01718568584e+03, 1.66984054675e-03, 2.39417889631e+05, 5.82814415775e-01, 4.06941878360e+03, 4.07203750390e+03, 2.04278223071e+05 
1.00000000000e+00, 3.62455692211e+07, 1.01741924690e+03, 1.66914079941e-03, 2.39902235604e+05, 5.83133562270e-01, 4.06761744168e+03, 4.07035425776e+03, 2.04277227201e+05 
1.00000000000e+00, 3.67475726131e+07, 1.01765254339e+03, 1.66844531634e-03, 2.40386274907e+05, 5.83451977561e-01, 4.06582206948e+03, 4.06867930805e+03, 2.04276138052e+05 
1.00000000000e+00, 3.72495760050e+07, 1.01788557570e+03, 1.66775408807e-03, 2.40870008484e+05, 5.83769663266e-01, 4.06403263555e+03, 4.06701260598e+03, 2.04274956059e+05 
1.00000000000e+00, 3.77515793970e+07, 1.01811834420e+03, 1.66706710514e-03, 2.41353437278e+05, 5.84086621002e-01, 4.06224910863e+03, 4.06535410306e+03, 2.04273681656e+05 
1.00000000000e+00, 3.82535827889e+07, 1.01835084928e+03, 1.66638435809e-03, 2.41836562230e+05, 5.84402852384e-01, 4.06047145763e+03, 4.06370375100e+03, 2.04272315275e+05 
1.00000000000e+00, 3.87555861809e+07, 1.01858309130e+03, 1.66570583750e-03, 2.42319384277e+05, 5.84718359025e-01, 4.05869965167e+03, 4.06206150182e+03, 2.04270857346e+05 
1.00000000000e+00, 3.92575895729e+07, 1.01881507065e+03, 1.66503153392e-03, 2.42801904355e+05, 5.85033142538e-01, 4.05693366004e+03, 4.06042730779e+03, 2.04269308299e+05 
1.00000000000e+00, 3.97595929648e+07, 1.01904678771e+03, 1.66436143793e-03, 2.43284123394e+05, 5.85347204532e-01, 4.05517345225e+03, 4.05880112144e+03, 2.04267668562e+05 
1.00000000000e+00, 4.02615963568e+07, 1.01927824285e+03, 1.66369554014e-03, 2.43766042325e+05, 5.85660546616e-01, 4.05341899795e+03, 4.05718289555e+03, 2.04265938562e+05 
1.00000000000e+00, 4.07635997487e+07, 1.01950943644e+03, 1.66303383114e-03, 2.44247662074e+05, 5.85973170398e-01, 4.05167026702e+03, 4.05557258318e+03, 2.04264118723e+05 
1.00000000000e+00, 4.12656031407e+07, 1.01974036886e+03, 1.66237630155e-03, 2.44728983565e+05, 5.86285077482e-01, 4.04992722949e+03, 4.05397013761e+03, 2.04262209471e+05 
1.00000000000e+00, 4.17676065327e+07, 1.01997104049e+03, 1.66172294199e-03, 2.45210007718e+05, 5.86596269474e-01, 4.04818985558e+03, 4.05237551240e+03, 2.04260211229e+05 
1.00000000000e+00, 4.22696099246e+07, 1.02020145170e+03, 1.66107374311e-03, 2.45690735452e+05, 5.86906747975e-01, 4.04645811572e+03, 4.05078866138e+03, 2.04258124418e+05 
1.00000000000e+00, 4.27716133166e+07, 1.02043160285e+03, 1.66042869554e-03, 2.46171167682e+05, 5.87216514586e-01, 4.04473198049e+03, 4.04920953860e+03, 2.04255949458e+05 
1.00000000000e+00, 4.32736167085e+07, 1.02066149434e+03, 1.65978778996e-03, 2.46651305322e+05, 5.87525570906e-01, 4.04301142065e+03, 4.04763809835e+03, 2.04253686769e+05 
1.00000000000e+00, 4.37756201005e+07, 1.02089112651e+03, 1.65915101702e-03, 2.47131149281e+05, 5.87833918534e-01, 4.04129640715e+03, 4.04607429522e+03, 2.04251336768e+05 
1.00000000000e+00, 4.42776234925e+07, 1.02112049976e+03, 1.65851836743e-03, 2.47610700467e+05, 5.88141559064e-01, 4.03958691111e+03, 4.04451808399e+03, 2.04248899873e+05 
1.00000000000e+00, 4.47796268844e+07, 1.02134961444e+03, 1.65788983186e-03, 2.48089959784e+05, 5.88448494093e-01, 4.03788290385e+03, 4.04296941975e+03, 2.04246376499e+05 
1.00000000000e+00, 4.52816302764e+07, 1.02157847094e+03, 1.65726540104e-03, 2.48568928135e+05, 5.88754725213e-01, 4.03618435683e+03, 4.04142825778e+03, 2.04243767059e+05 
1.00000000000e+00, 4.57836336683e+07, 1.02180706961e+03, 1.65664506567e-03, 2.49047606420e+05, 5.89060254015e-01, 4.03449124171e+03, 4.03989455363e+03, 2.04241071967e+05 
1.00000000000e+00, 4.62856370603e+07, 1.02203541084e+03, 1.65602881650e-03, 2.49525995534e+05, 5.89365082090e-01, 4.03280353031e+03, 4.03836826310e+03, 2.04238291635e+05 
1.00000000000e+00, 4.67876404523e+07, 1.02226349498e+03, 1.65541664427e-03, 2.50004096373e+05, 5.89669211025e-01, 4.03112119463e+03, 4.03684934220e+03, 2.04235426473e+05 
1.00000000000e+00, 4.72896438442e+07, 1.02249132241e+03, 1.65480853973e-03, 2.50481909827e+05, 5.89972642408e-01, 4.02944420685e+03, 4.03533774722e+03, 2.04232476890e+05 
1.00000000000e+00, 4.77916472362e+07, 1.02271889349e+03, 1.65420449365e-03, 2.50959436786e+05, 5.90275377824e-01, 4.02777253930e+03, 4.03383343467e+03, 2.04229443294e+05 
1.00000000000e+00, 4.82936506281e+07, 1.02294620860e+03, 1.65360449682e-03, 2.51436678135e+05, 5.90577418856e-01, 4.02610616449e+03, 4.03233636128e+03, 2.04226326093e+05 
1.00000000000e+00, 4.87956540201e+07, 1.02317326811e+03, 1.65300854002e-03, 2.51913634758e+05, 5.90878767088e-01, 4.02444505510e+03, 4.03084648406e+03, 2.04223125691e+05 
1.00000000000e+00, 4.92976574121e+07, 1.02340007237e+03, 1.65241661408e-03, 2.52390307537e+05, 5.91179424099e-01, 4.02278918397e+03, 4.02936376021e+03, 2.04219842493e+05 
1.00000000000e+00, 4.97996608040e+07, 1.02362662176e+03, 1.65182870980e-03, 2.52866697350e+05, 5.91479391468e-01, 4.02113852413e+03, 4.02788814719e+03, 2.04216476903e+05 
1.00000000000e+00, 5.03016641960e+07, 1.02385291664e+03, 1.65124481802e-03, 2.53342805072e+05, 5.91778670773e-01, 4.01949304873e+03, 4.02641960270e+03, 2.04213029322e+05 
1.00000000000e+00, 5.08036675879e+07, 1.02407895738e+03, 1.65066492960e-03, 2.53818631578e+05, 5.92077263591e-01, 4.01785273115e+03, 4.02495808465e+03, 2.04209500151e+05 
1.00000000000e+00, 5.13056709799e+07, 1.02430474434e+03, 1.65008903538e-03, 2.54294177736e+05, 5.92375171494e-01, 4.01621754486e+03, 4.02350355119e+03, 2.04205889789e+05 
1.00000000000e+00, 5.18076743719e+07, 1.02453027790e+03, 1.64951712624e-03, 2.54769444416e+05, 5.92672396057e-01, 4.01458746354e+03, 4.02205596070e+03, 2.04202198636e+05 
1.00000000000e+00, 5.23096777638e+07, 1.02475555841e+03, 1.64894919306e-03, 2.55244432483e+05, 5.92968938851e-01, 4.01296246102e+03, 4.02061527179e+03, 2.04198427088e+05 
1.00000000000e+00, 5.28116811558e+07, 1.02498058625e+03, 1.64838522676e-03, 2.55719142800e+05, 5.93264801444e-01, 4.01134251129e+03, 4.01918144328e+03, 2.04194575541e+05 
1.00000000000e+00, 5.33136845477e+07, 1.02520536177e+03, 1.64782521823e-03, 2.56193576228e+05, 5.93559985407e-01, 4.00972758849e+03, 4.01775443425e+03, 2.04190644390e+05 
1.00000000000e+00, 5.38156879397e+07, 1.02542988534e+03, 1.64726915842e-03, 2.56667733624e+05, 5.93854492304e-01, 4.00811766694e+03, 4.01633420396e+03, 2.04186634029e+05 
1.00000000000e+00, 5.43176913317e+07, 1.02565415733e+03, 1.64671703825e-03, 2.57141615843e+05, 5.94148323701e-01, 4.00651272110e+03, 4.01492071195e+03, 2.04182544851e+05 
1.00000000000e+00, 5.48196947236e+07, 1.02587817809e+03, 1.64616884868e-03, 2.57615223739e+05, 5.94441481162e-01, 4.00491272558e+03, 4.01351391791e+03, 2.04178377246e+05 
1.00000000000e+00, 5.53216981156e+07, 1.02610194800e+03, 1.64562458069e-03, 2.58088558162e+05, 5.94733966249e-01, 4.00331765516e+03, 4.01211378181e+03, 2.04174131605e+05 
1.00000000000e+00, 5.58237015075e+07, 1.02632546742e+03, 1.64508422525e-03, 2.58561619959e+05, 5.95025780521e-01, 4.00172748477e+03, 4.01072026382e+03, 2.04169808317e+05 
1.00000000000e+00, 5.63257048995e+07, 1.02654873671e+03, 1.64454777336e-03, 2.59034409976e+05, 5.95316925538e-01, 4.00014218949e+03, 4.00933332433e+03, 2.04165407769e+05 
1.00000000000e+00, 5.68277082915e+07, 1.02677175623e+03, 1.64401521604e-03, 2.59506929056e+05, 5.95607402856e-01, 3.99856174457e+03, 4.00795292393e+03, 2.04160930350e+05 
1.00000000000e+00, 5.73297116834e+07, 1.02699452634e+03, 1.64348654430e-03, 2.59979178038e+05, 5.95897214032e-01, 3.99698612537e+03, 4.00657902344e+03, 2.04156376443e+05 
1.00000000000e+00, 5.78317150754e+07, 1.02721704742e+03, 1.64296174919e-03, 2.60451157761e+05, 5.96186360618e-01, 3.99541530744e+03, 4.00521158391e+03, 2.04151746433e+05 
1.00000000000e+00, 5.83337184673e+07, 1.02743931982e+03, 1.64244082176e-03, 2.60922869060e+05, 5.96474844169e-01, 3.99384926647e+03, 4.00385056658e+03, 2.04147040705e+05 
