# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 1.46594233668e+07, 9.93576356294e+02, 1.21788010422e-04, 1.96220926572e+05, 1.24317990218e-01, 9.26587944508e+02, 2.06459406458e+03, 1.81466727487e+05 
1.00000000000e+00, 1.51614267588e+07, 9.95933991880e+02, 1.22658984688e-04, 1.96116166542e+05, 1.24913639914e-01, 9.26679563598e+02, 2.05396174161e+03, 1.80892841621e+05 
1.00000000000e+00, 1.56634301508e+07, 9.98245900351e+02, 1.23521132018e-04, 1.96020375741e+05, 1.25501568330e-01, 9.26785485571e+02, 2.04377327199e+03, 1.80329422094e+05 
1.00000000000e+00, 1.61654335427e+07, 1.00051414672e+03, 1.24374850645e-04, 1.95933146142e+05, 1.26082094989e-01, 9.26904005131e+02, 2.03399876908e+03, 1.79776019733e+05 
1.00000000000e+00, 1.66674369347e+07, 1.00274064852e+03, 1.25220510301e-04, 1.95854098381e+05, 1.26655517846e-01, 9.27033650219e+02, 2.02461111920e+03, 1.79232216184e+05 
1.00000000000e+00, 1.71694403266e+07, 1.00492719015e+03, 1.26058455003e-04, 1.95782879033e+05, 1.27222115295e-01, 9.27173145189e+02, 2.01558565670e+03, 1.78697621021e+05 
1.00000000000e+00, 1.76714437186e+07, 1.00707543547e+03, 1.26889005508e-04, 1.95719158209e+05, 1.27782147940e-01, 9.27321380621e+02, 2.00689988460e+03, 1.78171869201e+05 
1.00000000000e+00, 1.81734471106e+07, 1.00918693891e+03, 1.27712461462e-04, 1.95662627439e+05, 1.28335860163e-01, 9.27477388413e+02, 1.99853323352e+03, 1.77654618804e+05 
1.00000000000e+00, 1.86754505025e+07, 1.01126315526e+03, 1.28529103306e-04, 1.95612997789e+05, 1.28883481519e-01, 9.27640321145e+02, 1.99046685278e+03, 1.77145549029e+05 
1.00000000000e+00, 1.91774538945e+07, 1.01330544840e+03, 1.29339193962e-04, 1.95569998186e+05, 1.29425227978e-01, 9.27809434877e+02, 1.98268342857e+03, 1.76644358415e+05 
1.00000000000e+00, 1.96794572864e+07, 1.01531509902e+03, 1.30142980333e-04, 1.95533373925e+05, 1.29961303035e-01, 9.27984074740e+02, 1.97516702537e+03, 1.76150763241e+05 
1.00000000000e+00, 2.01814606784e+07, 1.01729331157e+03, 1.30940694644e-04, 1.95502885332e+05, 1.30491898706e-01, 9.28163662826e+02, 1.96790294693e+03, 1.75664496099e+05 
1.00000000000e+00, 2.06834640704e+07, 1.01924122041e+03, 1.31732555636e-04, 1.95478306563e+05, 1.31017196423e-01, 9.28347687947e+02, 1.96087761413e+03, 1.75185304615e+05 
1.00000000000e+00, 2.11854674623e+07, 1.02115989539e+03, 1.32518769642e-04, 1.95459424524e+05, 1.31537367841e-01, 9.28535696948e+02, 1.95407845736e+03, 1.74712950287e+05 
